"seed","method","evaluation","hypervolume","IGD_plus","pareto_size"
1,"TS",50,0.567519885395256,0.0815879384160946,18
1,"TS",51,0.56752013806827,0.0815879384160946,19
1,"TS",52,0.56752013806827,0.0815879384160946,19
1,"TS",53,0.56752013806827,0.0815879384160946,19
1,"TS",54,0.56752013806827,0.0815879384160946,19
1,"TS",55,0.56752013806827,0.0815879384160946,19
1,"TS",56,0.56752013806827,0.0815879384160946,19
1,"TS",57,0.567520397664266,0.0815879384160946,20
1,"TS",58,0.567520397664266,0.0815879384160946,20
1,"TS",59,0.567520397664266,0.0815879384160946,20
1,"TS",60,0.56752043206268,0.0815876384833058,21
1,"TS",61,0.567978671062574,0.0814063819437997,21
1,"TS",62,0.567978671062574,0.0814063819437997,21
1,"TS",63,0.571190370604936,0.0805816389751475,19
1,"TS",64,0.571516859880702,0.0805816389751475,20
1,"TS",65,0.571520298442078,0.0805816389751475,21
1,"TS",66,0.57155623443709,0.0805816389751475,22
1,"TS",67,0.571572631274661,0.0805816389751475,23
1,"TS",68,0.571572631274661,0.0805816389751475,23
1,"TS",69,0.571572631274661,0.0805816389751475,23
1,"TS",70,0.571573206856322,0.0805816389751475,24
1,"TS",71,0.571573231602823,0.0805816389751475,25
1,"TS",72,0.57775980642915,0.0791541604825367,26
1,"TS",73,0.57775980642915,0.0791541604825367,26
1,"TS",74,0.578482979251973,0.0790106194000336,27
1,"TS",75,0.578483145188729,0.0790106194000336,28
1,"TS",76,0.5784834954064,0.0790106194000336,29
1,"TS",77,0.578493963757773,0.0790106194000336,30
1,"TS",78,0.578493963760111,0.0790106194000336,31
1,"TS",79,0.578493994548437,0.0790106194000336,32
1,"TS",80,0.578505135481044,0.0790094860953887,33
1,"TS",81,0.5795951693067,0.0790094860953887,32
1,"TS",82,0.579595271077286,0.0790078986124332,33
1,"TS",83,0.579595435072791,0.0790078986124332,33
1,"TS",84,0.579615351407051,0.0790078986124332,34
1,"TS",85,0.579615530902036,0.079005806310094,35
1,"TS",86,0.579615579242985,0.079005806310094,36
1,"TS",87,0.579615631888146,0.079005806310094,37
1,"TS",88,0.579624178799541,0.079005806310094,38
1,"TS",89,0.579624226343287,0.079005806310094,39
1,"TS",90,0.579631758979183,0.079005806310094,40
1,"TS",91,0.579631758979183,0.079005806310094,40
1,"TS",92,0.579634091911123,0.079005806310094,41
