"cost_scenario","seed","method","final_hypervolume","final_IGD_plus","pareto_size","minimum_cost_eur","maximum_storage_m3yr","minimum_unretained_m3"
"transport_low_JRC_2",9,"TS",0.661878872928063,0.0296364252161296,26,993160330.909397,744892268.679059,0
"transport_low_JRC_2",9,"SCAL",0.680247337787129,0.0112962804144222,30,997931912.077521,837712163.079185,0
"transport_low_JRC_2",9,"EHVI",0.669366392241028,0.0199579691848545,16,1013170990.60473,841628904.809238,0
"transport_low_JRC_2",9,"EPI",0.610779057808428,0.0521756190597914,19,992503631.228814,742991659.843336,0
"transport_low_JRC_2",10,"TS",0.608696461984383,0.0435045203583454,12,995378886.979795,742223653.818252,0
"transport_low_JRC_2",10,"SCAL",0.599108519436003,0.0507206600679192,54,994010742.035508,762259289.018862,0
"transport_low_JRC_2",10,"EHVI",0.583208418177494,0.056552410589408,38,992754475.523229,742223653.818252,0
"transport_low_JRC_2",10,"EPI",0.591730253991365,0.0529270336624519,11,995378886.979795,742223653.818252,0
"transport_high_JRC_30",1,"TS",0.58084935178065,0.0630340042729551,46,1328639007.69601,686520641.993336,0
"transport_high_JRC_30",1,"SCAL",0.564951198580663,0.0683516993220564,48,1314197725.7324,752581342.547672,0
"transport_high_JRC_30",1,"EHVI",0.546198993054544,0.0716999636469693,14,1311661653.9181,708449379.008347,0
"transport_high_JRC_30",1,"EPI",0.643142852446114,0.0405320290972819,15,1313369066.0834,746156639.392763,0
"transport_high_JRC_30",2,"TS",0.5632406169979,0.064461468935245,46,1311320083.85035,710722176.985894,0
"transport_high_JRC_30",2,"SCAL",0.609649908472565,0.0458874128944785,35,1313618201.93479,781940501.422216,0
"transport_high_JRC_30",2,"EHVI",0.58465916722922,0.0597765472649137,46,1314413360.70013,745218692.654919,0
"transport_high_JRC_30",2,"EPI",0.633596670653869,0.0395242083034084,11,1314413360.70013,730113362.114074,0
"transport_high_JRC_30",3,"TS",0.574274337807927,0.056818608002542,20,1313488699.48351,768819823.336136,0
"transport_high_JRC_30",3,"SCAL",0.630579341378084,0.0319124533921022,25,1317021136.82422,833949418.666173,0
